Rodovia,TipoRodovi,Orientacao,Origem,Municipio,CodRegiona,SedeRegion,KmInicial,KmFinal,Extensao,DescricaoI,DescricaoF,Jurisdicao,Administra,Conservado,TipoPista,Sobreposic,Subposicao,PerimetroU,DataInicio,DataFimCon,EstadualCo,Denominaca,Legislacao,TPUso,TransfMuni,Subtrecho
SP 148,Eixo,Radial,Estadual,Santos,DR 05,Cubatão,59.0,63.1,4.1,Divisa Municipal Cubatão/Santos,Santos - Perímetro Urbano (A),Estadual,Concessionária,Ecovias,PAV,,,Nã,29 05 1998,29 03 2033,Nã,Caminho do Mar,,,,148SPE4581
SP 148,Eixo,Radial,Estadual,Santos,DR 05,Cubatão,63.1,64.53,1.43,Santos - Perímetro Urbano (A),Santos - Perímetro Urbano (B) - Cemitério,Estadual,DER,05.04,PAV,,,Nã,,,Nã,Caminho do Mar,,,,148SPE8039
SP 055,Eixo,Transversal,Estadual,São Vicente,DR 05,Cubatão,275.7,286.72,11.02,Divisa Municipal Cubatão / São Vicente,Divisa Municipal São Vicente / Praia Grande,Estadual,Concessionária,Ecovias,DUP,,,Nã,29 05 1998,29 03 2034,Sim,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE0854
SP 098,Eixo,Radial,Estadual,Bertioga,DR 05,Cubatão,82.4,98.1,15.7,Divisa Municipal Biritiba Mirim / Bertioga,Entroncamento SP 055 (km 214),Estadual,Concessionária,Novo Litoral,PAV,,,Nã,03 10 2024,03 10 2054,Nã,Dom Paulo Rolim Loureiro,Lei 2.990 de 16/09/81,,,098SPE2328
SP 066,Eixo,Radial,Estadual,Itaquaquecetuba,DR 10,São Paulo,29.6,30.7,1.1,Divisa Municipal São Paulo / Itaquaquecetuba,"Entroncamento SP 056 (km 30,7)",Estadual,Prefeitura,Prefeitura,DUP,,,Nã,,,Nã,João Afonso de Souza Castellano,Lei 3.561 de 20/10/82,TPU 007/1998,,066SPE3413
SP 066,Eixo,Radial,Estadual,Itaquaquecetuba,DR 10,São Paulo,30.7,34.0,3.3,"Entroncamento SP 056 (km 30,7)",Divisa Municipal Itaquaquecetuba / Poá,Estadual,Prefeitura,Prefeitura,DUP,,,Nã,,,Nã,João Afonso de Souza Castellano,Lei 3.561 de 20/10/82,TPU 007/1998,,066SPE0315
SP 066,Eixo,Radial,Estadual,Guararema,DR 10,São Paulo,68.7,69.5,0.8,Divisa Municipal Mogi das Cruzes / Guararema,Acesso ao distrito Luís Carlos / Entroncamento SPA 069/066,Estadual,DER,10.04,PAV,,,Nã,,,Nã,Henrique Eroles,Lei 5.557 de 26/01/87,,,066SPE6291
SP 066,Eixo,Radial,Estadual,Guararema,DR 10,São Paulo,69.5,73.7,4.2,Acesso ao distrito Luís Carlos / Entroncamento SPA 069/066,Acesso Guararema,Estadual,DER,10.04,PAV,,,Nã,,,Nã,Henrique Eroles,Lei 5.557 de 26/01/87,,,066SPE1517
SP 066,Eixo,Radial,Estadual,Guararema,DR 10,São Paulo,73.7,81.0,7.3,Acesso Guararema,Entroncamento SPI 172 / 060 (para Dutra),Estadual,DER,10.04,PAV,,,Nã,,,Nã,Henrique Eroles,Lei 5.557 de 26/01/87,,,066SPE9868
SP 066,Eixo,Radial,Estadual,Guararema,DR 10,São Paulo,81.0,81.54,0.54,Entroncamento SPI 172 / 060 (para Dutra),Divisa Municipal Guararema / Jacareí,Estadual,DER,10.04,PAV,,,Nã,,,Nã,Henrique Eroles,Lei 5.557 de 26/01/87,,,066SPE2996
SP 098,Eixo,Radial,Estadual,Biritiba Mirim,DR 10,São Paulo,75.0,82.4,7.4,Divisa Municipal Mogi das Cruzes / Biritiba Mirim,Divisa Municipal Biritiba Mirim / Bertioga,Estadual,Concessionária,Novo Litoral,PAV,,,Nã,03 10 2024,03 10 2054,Nã,Dom Paulo Rolim Loureiro,Lei 2.990 de 16/09/81,,,098SPE5684
SP 088,Eixo,Radial,Estadual,Biritiba Mirim,DR 10,São Paulo,67.4,72.1,4.7,Divisa Municipal Mogi das Cruzes / Biritiba Mirim,Acesso Biritiba Mirim,Estadual,DER,10.04,PAV,,,Nã,,,Nã,Professor Alfredo Rolim de Moura,Lei 3.216 de 05/01/1982 (Alt. P Lei 9.368 de 3/9/96),,,088SPE9292
SP 088,Eixo,Radial,Estadual,Biritiba Mirim,DR 10,São Paulo,72.1,75.8,3.7,Acesso Biritiba Mirim,Entroncamento SP 092 (km 75),Estadual,DER,10.04,PAV,,,Nã,,,Nã,Professor Alfredo Rolim de Moura,Lei 3.216 de 05/01/1982 (Alt. P Lei 9.368 de 3/9/96),,,088SPE4939
SP 088,Eixo,Radial,Estadual,Biritiba Mirim,DR 10,São Paulo,75.8,81.7,5.9,Entroncamento SP 092 (km 75),Divisa Municipal Biritiba Mirim / Salesópolis,Estadual,DER,10.04,PAV,,,Nã,,,Nã,Professor Alfredo Rolim de Moura,Lei 3.216 de 05/01/1982 (Alt. P Lei 9.368 de 3/9/96),,,088SPE8023
SP 092,Eixo,Radial,Estadual,Biritiba Mirim,DR 10,São Paulo,75.6,95.36,19.76,Entroncamento SP 088 (km 75) (Biritiba Mirim),Bairro Casa Grande,Estadual,DER,10.04,IMP,,,Nã,,,Nã,s/d,,,,092SPE9641
SP 066,Eixo,Radial,Estadual,Suzano,DR 10,São Paulo,36.2,36.4,0.2,Divisa Municipal Poá / Suzano,Entroncamento SP 021,Estadual,Prefeitura,Prefeitura,DUP,,,Nã,,,Nã,João Afonso de Souza Castellano,Lei 3.561 de 20/10/82,TPU 001/2001,,066SPE5829
SP 066,Eixo,Radial,Estadual,Suzano,DR 10,São Paulo,36.4,37.0,0.6,Entroncamento SP 021,Suzano Perímetro Urbano (A),Estadual,Prefeitura,Prefeitura,DUP,,,Nã,,,Nã,João Afonso de Souza Castellano,Lei 3.561 de 20/10/82,TPU 001/2001,,066SPE4722
SP 066,Eixo,Radial,Estadual,Suzano,DR 10,São Paulo,37.0,41.0,4.0,Suzano Perímetro Urbano (A),Suzano Perímetro Urbano (B),Estadual,Prefeitura,Prefeitura,DUP,,,Nã,,,Nã,João Afonso de Souza Castellano,Lei 3.561 de 20/10/82,TPU 001/2001,,066SPE6620
SP 066,Eixo,Radial,Estadual,Suzano,DR 10,São Paulo,41.0,42.9,1.9,Suzano Perímetro Urbano (B),Divisa Municipal Suzano / Mogi das Cruzes,Estadual,Prefeitura,Prefeitura,DUP,,,Nã,,,Nã,Henrique Eroles,Lei 5.557 de 26/01/87,TPU 001/2001,,066SPE6651
SP 043,Eixo,Transversal,Estadual,Suzano,DR 10,São Paulo,56.5,65.5,9.0,Divisa Municipal Ribeirão Pires / Suzano,Divisa Municipal Suzano / Moji das Cruzes,Estadual,DER,10.04,IMP,,,Nã,,,Nã,s/d,,,,043SPE5098
SP 088,Eixo,Radial,Estadual,Salesópolis,DR 10,São Paulo,81.7,94.0,12.3,Divisa Municipal Biritiba Mirim / Salesópolis,Salesópolis Perímetro Urbano (A),Estadual,DER,10.04,PAV,,,Nã,,,Nã,Professor Alfredo Rolim de Moura,Lei 3.216 de 05/01/1982 (Alt. P Lei 9.368 de 3/9/96),,,088SPE6222
SP 088,Eixo,Radial,Estadual,Salesópolis,DR 10,São Paulo,94.0,97.5,3.5,Salesópolis Perímetro Urbano (A),Salesópolis Perímetro Urbano (B),Municipal,Prefeitura,Prefeitura,PAV,,,Nã,,,Nã,Professor Alfredo Rolim de Moura,Lei 3.216 de 05/01/1982 (Alt. P Lei 9.368 de 3/9/96),,,088SPE2426
SP 088,Eixo,Radial,Estadual,Salesópolis,DR 10,São Paulo,97.5,106.7,9.2,Salesópolis Perímetro Urbano (B),Divisa Municipal Salesópolis / Paraibuna,Estadual,DER,10.04,PAV,,,Nã,,,Nã,Professor Alfredo Rolim de Moura,Lei 3.216 de 05/01/1982 (Alt. P Lei 9.368 de 3/9/96),,,088SPE1994
SP 088,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,37.9,39.45,1.55,Divisa Municipal Arujá / Mogi das Cruzes,Incio do Dispositivo SPD 045/070,Estadual,Concessionária,Novo Litoral,DUP,,,Nã,01 11 2024,01 11 2054,Nã,Pedro Eroles,Lei 9.368 de 03/09/1996 (Esta Lei Alterou A Lei 3.216 de 05/01/1982),,,088SPE4901
SP 088,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,39.45,39.9,0.45,Incio do Dispositivo SPD 045/070,Entroncamento SP 070 (km 45),Estadual,Concessionária,Ecopistas,DUP,,,Nã,18 06 2009,31 05 2039,Nã,Pedro Eroles,Lei 9.368 de 03/09/1996 (Esta Lei Alterou A Lei 3.216 de 05/01/1982),,,088SPE3433
SP 088,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,39.9,40.5,0.6,Entroncamento SP 070 (km 45),Final do Dispositivo SPD 045/070,Estadual,Concessionária,Ecopistas,DUP,,,Nã,18 06 2009,31 05 2039,Nã,Pedro Eroles,Lei 9.368 de 03/09/1996 (Esta Lei Alterou A Lei 3.216 de 05/01/1982),,,088SPE6972
SP 088,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,40.5,43.0,2.5,Final do Dispositivo SPD 045/070,Acesso Municipal a Suzano,Estadual,Concessionária,Novo Litoral,DUP,,,Nã,01 11 2024,01 11 2054,Nã,Pedro Eroles,Lei 9.368 de 03/09/1996 (Esta Lei Alterou A Lei 3.216 de 05/01/1982),,,088SPE3890
SP 088,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,43.0,49.5,6.5,Acesso Municipal a Suzano,Acesso SP 066 / Mogi das Cruzes Perímetro Urbano (A),Estadual,Concessionária,Novo Litoral,DUP,,,Nã,01 11 2024,01 11 2054,Nã,Pedro Eroles,Lei 9.368 de 03/09/1996 (Esta Lei Alterou A Lei 3.216 de 05/01/1982),,,088SPE6893
SP 088,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,49.5,52.1,2.6,Acesso SP 066 / Mogi das Cruzes Perímetro Urbano (A),Entroncamento SP 066 (km 53),Municipal,Prefeitura,Prefeitura,PAV,,,Nã,,,Nã,,,,,088SPE0556
SP 088,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,52.1,57.4,5.3,Entroncamento SP 066 (km 53),Mogi das Cruzes Perímetro Urbano (B),Municipal,Prefeitura,Prefeitura,PAV,,,Nã,,,Nã,,,,LEI 3757/91,088SPE4193
SP 088,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,57.4,67.4,10.0,Mogi das Cruzes Perímetro Urbano (B),Divisa Municipal Mogi das Cruzes / Biritiba Mirim,Estadual,DER,10.04,PAV,,,Nã,,,Nã,Professor Alfredo Rolim de Moura,Lei 3.216 de 05/01/1982 (Alt. P Lei 9.368 de 3/9/96),,,088SPE2437
SP 098,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,53.0,56.65,3.65,Entroncamento SP 066 / Mogi das Cruzes Perímetro Urbano (A),Mogi das Cruzes Perímetro Urbano (B),Estadual,Prefeitura,Prefeitura,PAV,,,Nã,,,Nã,Dom Paulo Rolim Loureiro,Lei 2.990 de 16/09/81,TPU nº 003/2001,,098SPE0202
SP 098,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,56.65,62.9,6.25,Mogi das Cruzes Perímetro Urbano (B),Entroncamento SP 102 (km 62),Estadual,Concessionária,Novo Litoral,PAV,,,Nã,03 10 2024,03 10 2054,Nã,Dom Paulo Rolim Loureiro,Lei 2.990 de 16/09/81,,,098SPE0411
SP 098,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,62.9,75.0,12.1,Entroncamento SP 102 (km 62),Divisa Municipal Mogi das Cruzes / Biritiba Mirim,Estadual,Concessionária,Novo Litoral,PAV,,,Nã,03 10 2024,03 10 2054,Nã,Dom Paulo Rolim Loureiro,Lei 2.990 de 16/09/81,,,098SPE6252
SP 102,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,62.9,78.45,15.55,Entroncamento SP 098 (km 63),Distrito Taiaçupeba,Estadual,DER,10.04,PAV,,,Nã,,,Nã,Prefeito Francisco Ribeiro Nogueira,Lei 9.272 de 19/12/95,,,102SPE5500
SP 102,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,78.45,81.15,2.7,Distrito Taiaçupeba,Mogi das Cruzes Perímetro Urbano (B) / Entroncamento SP 043 (km 81),Estadual,DER,10.04,PAV,,,Nã,,,Nã,Prefeito Francisco Ribeiro Nogueira,Lei 9.272 de 19/12/95,,,102SPE6384
SP 102,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,81.15,86.0,4.85,Mogi das Cruzes Perímetro Urbano (B)  / Entroncamento SP 043 (km 81),Divisa Municipal Mogi das Cruzes / Bertioga,Estadual,DER,10.04,IMP,,,Nã,,,Nã,Prefeito Francisco Ribeiro Nogueira,Lei 9.272 de 19/12/95,,,102SPE6383
SP 039,Eixo,Transversal,Estadual,Mogi das Cruzes,DR 10,São Paulo,45.4,62.1,16.7,"Entroncamento SP 066 (km 45,4) (Jundiapeba) Perímetro Urbano (B)",Entroncamento SP 043 (km 76) (Taiaçupeba),Estadual,DER,10.04,PAV,,,Nã,,,Nã,Engenheiro Cândido do Rego Chaves,Lei 6.917 de 26/06/90,,,039SPE7678
SP 043,Eixo,Transversal,Estadual,Mogi das Cruzes,DR 10,São Paulo,65.5,72.0,6.5,Divisa Municipal Suzano / Moji das Cruzes,Quatinga Perímetro Urbano (A),Estadual,DER,10.04,IMP,,,Nã,,,Nã,s/d,,,,043SPE9337
SP 043,Eixo,Transversal,Estadual,Mogi das Cruzes,DR 10,São Paulo,72.0,73.5,1.5,Quatinga Perímetro Urbano (A),Quatinga Perímetro Urbano (B),Estadual,DER,10.04,IMP,,,Sim,,,Nã,s/d,,,,043SPE4482
SP 043,Eixo,Transversal,Estadual,Mogi das Cruzes,DR 10,São Paulo,73.5,76.3,2.8,Quatinga Perímetro Urbano (B),Entroncamento SP 039 (km 62),Estadual,DER,10.04,IMP,,,Nã,,,Nã,s/d,,,,043SPE2637
SP 043,Eixo,Transversal,Estadual,Mogi das Cruzes,DR 10,São Paulo,76.3,81.15,4.85,Entroncamento SP 039 (km 62),Entroncamento SP 102 (km 81) (Taiaçupeba),Estadual,DER,10.04,IMP,,,Nã,,,Nã,s/d,,,,043SPE8620
SP 066,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,42.9,45.4,2.5,Divisa Municipal Suzano / Mogi das Cruzes,"Entroncamento SP 039 (km 45,4)",Estadual,Prefeitura,Prefeitura,DUP,,,Nã,,,Nã,Henrique Eroles,Lei 5.557 de 26/01/87,TPU 001/2000,,066SPE8761
SP 066,Eixo,Radial,Estadual,Mogi das Cruzes,DR 10,São Paulo,45.4,52.8,7.4,"Entroncamento SP 039 (km 45,4)",Entroncamento SP 098 (km 53) / Mogi das Cruzes Perímetro Urbano (A),Estadual,Prefeitura,Prefeitura,DUP,,,Nã,,,Nã,Henrique Eroles,Lei 5.557 de 26/01/87,TPU 001/2000,,066SPE7622
